taxon,range_size,niche_breadth,n_pts
Heteronotia fasciolatus,32175.039822,0.000279437862693,643
Heteronotia planiceps,258114.92569,0.02222696209815,1568
Heteronotia spelea,1691032.541718,0.062446274457627,1904
Hoplocephalus bitorquatus,529664.33241,0.400805911867483,1763
Hoplocephalus bungaroides,35984.368304,0.023603670859586,687
Hoplocephalus stephensii,116222.863245,0.055987653548763,1237
Hypsilurus boydii,32008.49134,0.169885109009599,646
Hypsilurus spinipes,87719.581517,0.050200644300232,1135
Intellagama lesueurii,783415.302329,0.657245731814525,1818
Lampropholis adonis,69071.459966,0.027145065437445,1027
Lampropholis amicula,42147.229236,0.021909957271553,789
Lampropholis caligula,12555.781276,0.023003442206554,319
Lampropholis coggeri,40142.386261,0.171550020124825,758
Lampropholis colossus,3844.305273,0.002457282814668,109
Lampropholis couperi,30046.148201,0.00792985083802,617
Lampropholis delicata,636430.406116,0.47311050064101,1793
Lampropholis elongata,3020.799956,0.013049893264577,88
Lampropholis guichenoti,546892.218062,0.182386562888742,1748
Lampropholis mirabilis,17806.713241,0.005442548503926,426
Lampropholis robertsi,11609.499859,0.082869832327784,302
Lepidodactylus pumilus,18954.108445,0.001017043269691,461
Lerista aericeps,560644.912074,0.006629999319751,1764
Lerista allanae,209393.4475,0.01867187211845,1481
Lerista allochira,4709.456299,0.000464637592534,137
Lerista ameles,15016.07919,0.0071984011736,358
Lerista amicorum,63326.409743,0.000743261881882,946
Lerista apoda,18535.343877,0.000703409146261,439
Lerista arenicola,48890.255608,0.000813568301696,842
Lerista axillaris,4294.584494,0.001139316639067,115
Lerista baynesi,29089.160702,0.00042640517759,589
Lerista bipes,2764864.38735,0.125202423259263,1954
Lerista borealis,120346.43939,0.01103435076276,1259
Lerista bougainvillii,427811.55888,0.142757625153553,1685
Lerista bunglebungle,4581.570343,0.00086079836744,127
Lerista carpentariae,2352.947014,0.000498010326067,86
Lerista chalybura,57423.231592,0.003571653546132,907
Lerista chordae,25286.752169,0.00150473199951,551
Lerista christinae,19747.544629,0.001458900938597,448
Lerista cinerea,27042.375718,0.002674936983896,570
Lerista clara,173852.726613,0.009028516966184,1406
Lerista colliveri,100452.159274,0.007943262048101,1184
Lerista desertorum,1254619.033476,0.010939274683517,1876
Lerista distinguenda,238446.188688,0.100155604359938,1517
Lerista dorsalis,481890.610061,0.027613943903223,1738
Lerista edwardsae,187910.697373,0.019666132028512,1454
Lerista elegans,93170.991717,0.032133705113763,1125
Lerista elongata,581720.543056,0.006080969175375,1779
Lerista emmotti,308335.992756,0.004860033744025,1618
Lerista eupoda,148429.592897,0.006869516980805,1333
Lerista flammicauda,77338.688334,0.004089260770211,1043
Lerista fragilis,356695.158202,0.02622153746199,1653
Lerista frosti,162329.507129,0.001521580315485,1401
Lerista gascoynensis,19356.874215,0.000496233399547,445
Lerista gerrardii,298793.750214,0.031563707146796,1591
Lerista greeri,225546.667141,0.010253960052606,1514
Lerista griffini,37834.07704,0.002118094001731,733
Lerista haroldi,7710.202859,6.05068675469214E-05,208
Lerista humphriesi,21425.314294,0.002264792670394,484
Lerista ingrami,4652.920412,0.004855819580719,128
Lerista ips,349844.690777,0.004524409760122,1627
Lerista jacksoni,110150.503251,0.003336882564668,1245
Lerista kalumburu,5644.240054,0.001993297708467,166
Lerista karlschmidti,313049.45353,0.02858143898587,1626
Lerista kendricki,9351.93534,0.001880584671125,255
Lerista kennedyensis,14200.358656,0.000105519595784,358
Lerista kingi,867271.72237,0.020405146915107,1837
Lerista labialis,1830499.608762,0.024585090953378,1919
Lerista lineata,12026.452522,0.008358628388817,301
Lerista lineopunctulata,103613.28893,0.037049576936798,1208
Lerista macropisthopus,578057.796579,0.011349193867328,1770
Lerista maculosa,2219.203978,6.44707445770338E-05,61
Lerista micra,70262.277402,0.0058419760324,1027
Lerista microtis,97088.785127,0.032706636569126,1168
Lerista muelleri,4251147.592039,0.073642450012541,1969
Lerista neander,7333.979436,7.56047760370274E-05,196
Lerista nevinae,7021.032553,0.000367459729243,185
Lerista nichollsi,80366.954116,0.000333999011069,1076
Lerista occulta,16403.252717,0.000213611978401,406
Lerista onsloviana,24926.265163,0.000412762707054,533
Lerista orientalis,442718.410468,0.016363487141166,1712
Lerista petersoni,52068.324266,0.001022578323407,874
Lerista picturata,239831.666101,0.0123177721007,1553
Lerista planiventralis,67289.013077,0.01852576890147,995
Lerista praefrontalis,5012.947383,0.00093523484055,153
Lerista praepedita,56637.141057,0.023345916910436,936
Lerista punctatovittata,1180272.899113,0.043558723689569,1873
Lerista puncticauda,8123.971645,9.26834319968213E-06,213
Lerista quadrivincula,5860.908308,0.000458980143192,160
Lerista rhodonoides,804470.651446,0.01012814523577,1833
Lerista robusta,4073.444387,6.42507122311E-05,112
Lerista rochfordensis,7381.53401,0.000706713119257,199
Lerista rolfei,125008.504727,0.003087360907429,1272
Lerista separanda,14032.4513,0.000533283967858,342
Lerista simillima,21046.206651,0.001576641249314,483
Lerista speciosa,6429.831652,2.96090658790028E-05,172
Lerista stictopleura,27608.163934,0.000262473228145,578
Lerista storri,16807.851097,0.000731466399545,395
Lerista stylis,151457.903342,0.00631471093563,1359
Lerista taeniata,828145.579283,0.070835348006664,1854
Lerista talpina,6939.781383,0.000117900260226,191
Lerista terdigitata,693728.852071,0.022814343638049,1817
Lerista tridactyla,20852.639617,0.000406376952339,479
Lerista uniduo,85430.132895,0.002558179670336,1090
Lerista varia,42886.879539,0.00031663031819,765
Lerista verhmens,79078.777273,0.002275759215491,1072
Lerista vermicularis,151895.031942,0.002559213831909,1332
Lerista viduata,7397.037495,0.000530906391099,196
Lerista vittata,8293.600755,0.001228585160117,219
Lerista walkeri,99674.212393,0.009230297673695,1193
Lerista wilkinsi,84306.664921,0.006120394091496,1100
Lerista xanthura,1027082.376547,0.011871852647948,1871
Lerista yuna,5893.209305,0.00076697550302,156
Lerista zietzi,33098.252089,0.003293255798172,659
Lerista zonulata,72423.624389,0.017254734135681,1015
Lialis burtonis,7667699.95283,1.02841275127392,1979
Liasis fuscus,1273987.040702,0.186835133641989,1905
Liasis olivaceus,1435770.133024,0.1075374013565,1886
Liburnascincus artemis,1345.880657,0.000103099553382,39
Liburnascincus coensis,13078.991978,0.000650718021853,330
Liburnascincus mundivensis,207406.280388,0.116175653512109,1494
Liburnascincus scirtetis,6531.711978,0.009969482063744,182
Liopholis guthega,9458.233103,0.016553918501373,243
Liopholis inornata,3174683.588562,0.037923451646019,1954
Liopholis kintorei,1336754.060679,0.061608886974279,1877
Liopholis margaretae,236157.451419,0.008053550021077,1511
Liopholis modesta,259174.927476,0.049213351203946,1546
Liopholis montana,37342.710397,0.054863954012442,714
Liopholis multiscutata,356646.202736,0.041933805640953,1668
Liopholis pulchra,54768.823443,0.035789651069383,904
Liopholis slateri,103000.392257,0.000390164982438,1205
Liopholis striata,1791209.224322,0.032464694965737,1927
Liopholis whitii,872179.206919,0.251464083877601,1841
Lissolepis coventryi,162442.689743,0.060594038423455,1391
Lissolepis luctuosa,63409.663768,0.046875375327948,970
Lophognathus burnsi,636119.041807,0.010284960821856,1796
Lophognathus gilberti,3430023.830531,0.320781165554719,1961
Lophognathus longirostris,3167645.070751,0.087011375912836,1947
Lophognathus temporalis,448323.148945,0.078992942552001,1707
Lucasium alboguttatum,92131.392687,0.028249570503612,1148
Lucasium bungabinna,515420.376347,0.005186256138824,1740
Lucasium byrnei,872237.80477,0.010957660443305,1843
Lucasium damaeum,1893744.61173,0.018958241725935,1925
Lucasium immaculatum,691159.496168,0.012199819448075,1793
Lucasium maini,441331.020972,0.015524100274998,1709
Lucasium occultum,9913.264549,0.000481005108022,253
Lucasium squarrosum,1066078.735988,0.025131530321477,1860
Lucasium steindachneri,1905656.490858,0.362620724264466,1914
Lucasium stenodactylum,4053448.722962,0.235992936381065,1967
Lucasium wombeyi,18215.6875,0.001680979785882,432
Lygisaurus abscondita,5233.360489,0.000198483166977,145
Lygisaurus aeratus,116534.121469,0.037167770806678,1246
Lygisaurus foliorum,397189.423134,0.160232290065929,1706
Lygisaurus laevis,17300.840579,0.097041946865845,415
Lygisaurus macfarlani,84186.239158,0.113935362748717,1114
Lygisaurus malleolus,37188.973176,0.03911401640236,703
Lygisaurus parrhasius,1598.470998,4.32828544071147E-05,48
Lygisaurus rococo,12126.445543,0.004302326259506,304
Lygisaurus sesbrauna,34084.386072,0.006063688172173,689
Lygisaurus tanneri,6298.375688,0.010130269445522,173
Lygisaurus zuma,15919.369296,0.012368764950532,386
Menetia alanae,10448.718453,5.13362271006812E-05,283
Menetia concinna,19436.338877,0.000964288692585,458
Menetia greyii,6960097.370777,0.588892110091856,1979
Menetia maini,1756388.889498,0.10935387139058,1921
Menetia surda,306334.689705,0.018362195892287,1603
Moloch horridus,3552548.504497,0.088083363366851,1951
Morelia bredli,159421.660155,0.003445598713224,1391
Morelia carinata,4664.074538,0.001309393361739,133
Morelia spilota,7581951.880723,1.23103406804692,1976
Morelia viridis,742731.048172,0.29041874868703,1816
Morethia adelaidensis,1695841.799506,0.041808310848831,1911
Morethia boulengeri,6578966.614359,0.938175233410771,1973
Morethia butleri,983719.439869,0.024837174310642,1847
Morethia lineoocellata,107494.493745,0.074060034227191,1218
Morethia obscura,1245750.677064,0.067301277216659,1893
Morethia ruficauda,3094790.00519,0.180603183037872,1943
Morethia storri,275114.51979,0.013027090151968,1565
Morethia taeniopleura,543661.028012,0.391421245148176,1774
Myron richardsonii,199146.872606,0.078943367124641,1465
Nactus cheverti,37452.733801,0.134351834994958,712
Nactus eboracensis,51404.998183,0.004487805475226,878
Nactus galgajuga,4268.229004,0.001732191165678,121
Nangura spinosa,4950.056477,0.002538163967067,136
Nebulifera robusta,592069.227685,0.203638593307976,1782
Nephrurus amyae,115679.963572,0.001076480059552,1237
Nephrurus asper,885551.627602,0.348137897550975,1842
Nephrurus deleani,18964.034022,0.000133105843569,439
Nephrurus laevissimus,1492180.69862,0.013252572362407,1886
Nephrurus levis,4143132.201926,0.070700140644511,1959
Nephrurus sheai,396323.248854,0.02443335241723,1684
Nephrurus stellatus,542792.688212,0.019460139040534,1781
Nephrurus vertebralis,819407.548531,0.005754942754481,1830
Nephrurus wheeleri,765892.638222,0.022911274514324,1798
Niveoscincus coventryi,174081.136415,0.070015134080831,1420
Niveoscincus greeni,18295.970592,0.033003224101783,433
Niveoscincus metallicus,92427.234714,0.127431583085105,1156
Niveoscincus microlepidotus,25229.768136,0.051248960470417,541
Niveoscincus ocellatus,56354.858295,0.066646564688164,928
Niveoscincus orocryptus,4452.124214,0.006731445968708,126
Niveoscincus pretiosus,55027.454609,0.067791712508983,895
Notechis scutatus,831127.257415,0.443786842836977,1821
Notoscincus butleri,8100.784084,0.000698004258402,217
Notoscincus ornatus,2796839.737666,0.191684084729957,1940
Oedura castelnaui,320749.886347,0.149473242903442,1635
Oedura coggeri,130225.280001,0.13097584317812,1297
Oedura filicipoda,18996.752864,0.005377562639096,456
Oedura gemmata,19181.158803,0.001576628330859,450
Oedura gracilis,16775.973854,0.005436977185991,420
Oedura jowalbinna,2423.095251,9.85290030074659E-05,70
Oedura marmorata,3769257.850624,0.219379482062298,1954
Oedura monilis,654683.901849,0.171125754609101,1784
Oedura tryoni,257968.8046,0.075517513247119,1538
Ophidiocephalus taeniatus,91318.074873,0.000228369275185,1145
Ophioscincus cooloolensis,27628.694942,0.009792083274356,597
Ophioscincus ophioscincus,63037.5588,0.017999512122414,949
Ophioscincus truncatus,99891.499826,0.044603018663327,1169
Orraya occultus,3543.481841,0.000387086588256,103
Oxyuranus microlepidotus,636071.400428,0.008670045180911,1766
Oxyuranus scutellatus,952510.145488,0.562136957852761,1840
Paradelma orientalis,174837.339837,0.02180199868945,1421
Parasuta dwyeri,744663.103268,0.078553669116974,1820
Parasuta flagellum,205415.38809,0.104737297892889,1514
Parasuta gouldii,360682.184582,0.079588397802049,1642
Parasuta monachus,2050465.77657,0.022169458398821,1929
Parasuta nigriceps,561367.58655,0.067302936568518,1767
Parasuta spectabilis,1243341.900434,0.06520498067441,1884
Paroplocephalus atriceps,10961.416573,0.000388692196692,282
Phyllurus caudiannulatus,6187.675051,0.004154578760542,167
Phyllurus isis,4225.436205,0.00497753246141,114
Phyllurus kabikabi,3085.022873,0.00128130576003,86
Phyllurus nepthys,3402.513775,0.004183810019156,93
Phyllurus ossa,9787.46603,0.009279219890958,263
Phyllurus platurus,11057.641556,0.02293457314051,296
Pletholax gracilis,40465.485355,0.025867840417613,766
Pogona barbata,1475568.858513,0.561280854688934,1898
Pogona henrylawsoni,185561.056965,0.026605691044303,1442
Pogona microlepidota,39714.67434,0.003453986459746,751
Pogona minima,638426.036185,0.08029664190004,1778
Pogona minor,2602618.642152,0.104729714142253,1941
Pogona mitchelli,1065122.08272,0.05844033033973,1859
Pogona nullarbor,204229.526139,0.001035637200427,1484
Pogona vitticeps,1782656.828839,0.044729168592266,1913
Proablepharus barrylyoni,2945.076412,0.000114726066997,83
Proablepharus kinghorni,1177259.405714,0.066891546757125,1873
Proablepharus naranjicaudus,41078.203866,0.002617705033262,771
Proablepharus reginae,2055655.249714,0.098612325358893,1935
Proablepharus tenuis,1238955.566562,0.043385494846759,1878
Pseudechis australis,6773146.204625,0.615455796125582,1971
Pseudechis butleri,175322.652818,0.000404163049125,1394
Pseudechis colletti,397274.543872,0.03583671912405,1711
Pseudechis guttatus,430403.484614,0.080353806621206,1708
Pseudechis porphyriacus,1002885.831313,0.531471693538706,1860
Pseudechis weigeli,498820.402511,0.019134841496541,1726
Pseudemoia baudini,56929.331322,0.006551515603054,920
Pseudemoia cryodroma,19728.613861,0.044285267246517,447
Pseudemoia entrecasteauxii,356309.569201,0.252613066152908,1657
Pseudemoia pagenstecheri,551265.221748,0.294401072054372,1749
Pseudemoia rawlinsoni,77861.546423,0.082529732869133,1062
Pseudemoia spenceri,113934.471696,0.082497852864639,1230
Pseudoferania polylepis,641815.213736,0.230441179570635,1796
Pseudonaja affinis,356697.830061,0.065622822257993,1646
Pseudonaja aspidorhyncha,1620300.781667,0.058931372303167,1892
Pseudonaja guttata,974580.874368,0.044293511418297,1861
Pseudonaja inframacula,31427.310284,0.00567729456752,639
Pseudonaja ingrami,218828.43038,0.008110319400336,1488
Pseudonaja mengdeni,4364516.358093,0.181939710753197,1967
Pseudonaja modesta,4631397.478236,0.158988557344021,1968
Pseudonaja nuchalis,6356591.646676,0.490276010346818,1972
Pseudonaja textilis,2482188.57149,0.989578498636511,1950
Pseudothecadactylus australis,55400.26495,0.006435987959977,898
Pseudothecadactylus cavaticus,37498.98131,0.005624019489983,737
Pseudothecadactylus lindneri,248910.432604,0.014545703208922,1579
Pygmaeascincus koshlandae,9799.493901,0.055204405780634,255
Pygmaeascincus sadlieri,12965.410619,0.00286966660691,325
Pygmaeascincus timlowi,360851.064767,0.138487830547303,1676
Pygopus lepidopodus,1668196.519407,0.354392531688229,1904
Pygopus nigriceps,6780076.668292,0.587495822750558,1970
Pygopus robertsi,57708.198737,0.044896202325873,925
Pygopus schraderi,2272321.741351,0.212971309707991,1942
Pygopus steelescotti,537161.294972,0.027289127772712,1757
Rankinia diemensis,250564.246597,0.164400474574501,1540
Rhinoplocephalus bicolor,114053.353629,0.043140321436272,1213
Rhynchoedura angusta,218782.209966,0.005391001758495,1472
Rhynchoedura eyrensis,586628.1908,0.007010918004235,1778
Rhynchoedura mentalis,37888.823705,0.001587625269295,719
Rhynchoedura ormsbyi,325908.927231,0.010958437942073,1625
Rhynchoedura ornata,5348704.640053,0.192476541882297,1967
Rhynchoedura sexapora,79693.532489,0.003688803860237,1083
Saiphos equalis,144192.035681,0.067445067118906,1355
Saltuarius cornutus,30557.728451,0.183999149588136,625
Saltuarius eximius,1908.18066,0.00040296416389,59
Saltuarius kateae,2849.440183,0.001906578285137,81
Saltuarius moritzi,30624.16721,0.037701492689518,620
Saltuarius salebrosus,81417.658228,0.016318140048574,1081
Saltuarius swaini,31781.663915,0.016178588938491,655
Saltuarius wyberba,3451.635125,0.00380895277806,97
Saproscincus basiliscus,12828.498908,0.012197367106678,329
Saproscincus challengeri,17008.978089,0.020011769657453,412
Saproscincus czechurai,20086.914252,0.155788614097955,478
Saproscincus eungellensis,4393.853205,0.004604391153026,125
Saproscincus hannahae,26153.681004,0.129777559588742,585
Saproscincus lewisi,3728.489206,0.010010416025816,105
Saproscincus mustelinus,179547.032489,0.094854583545039,1425
Saproscincus oriarus,18187.373173,0.007520355633087,442
Saproscincus rosei,45956.787461,0.020311599562318,817
Saproscincus saltus,2783.956029,0.000322596071437,78
Saproscincus tetradactylus,24757.427647,0.128334098446415,556
Silvascincus murrayi,78182.576258,0.05240211719454,1054
Silvascincus tryoni,29761.693886,0.032691458860757,609
Simalia amethistina,1081538.442104,1.3643729121348,1876
Simalia kinghorni,113069.490167,0.182879518524593,1240
Simalia oenpelliensis,32501.850238,0.003084864573373,657
Simoselaps anomalus,1292124.643955,0.055622765882656,1883
Simoselaps bimaculatus,1229907.743496,0.053056345418552,1884
Simoselaps littoralis,57948.286033,0.010339197556812,880
Simoselaps minimus,15068.616511,0.000554689262266,366
Stegonotus cucullatus,883095.196253,1.27086692496879,1855
Strophurus assimilis,284063.324546,0.006024917817766,1564
Strophurus ciliaris,4142052.273266,0.226414770387743,1961
Strophurus elderi,3251390.729654,0.062808431115703,1955
Strophurus horneri,6842.326102,0.002172048872232,196
Strophurus intermedius,1226158.170585,0.055838940533198,1885
Strophurus jeanae,1340967.678879,0.025690714729533,1885
Strophurus krisalys,434005.402708,0.019843830495566,1702
Strophurus mcmillani,66007.103413,0.005567163982154,978
Strophurus michaelseni,88233.879124,0.02006746867655,1114
Strophurus rankini,13657.878114,0.000513972723501,343
Strophurus robinsoni,6581.296266,0.000466313876195,175
Strophurus spinigerus,326044.503819,0.118415003684985,1630
Strophurus strophurus,1024280.695557,0.021670745201946,1846
Strophurus taeniatus,653081.793981,0.019924879517588,1781
Strophurus taenicauda,716234.040653,0.295533589761259,1799
Strophurus wellingtonae,416196.731977,0.002354454464246,1688
Strophurus williamsi,1097021.917872,0.29339451932857,1874
Strophurus wilsoni,16854.930498,0.000173842873739,398
Suta fasciata,1270025.350483,0.029555787617602,1880
Suta ordensis,54650.724689,0.002273644506615,893
Suta punctata,2765371.253158,0.120388478245377,1955
Suta suta,4429789.474494,0.334284429182248,1964
Techmarscincus jigurru,7262.031668,0.041521412048426,198
Tiliqua adelaidensis,24031.379626,0.01252113088518,539
Tiliqua multifasciata,3869276.326317,0.183742008392634,1956
Tiliqua nigrolutea,308700.325909,0.152329734857493,1589
Tiliqua occipitalis,2351957.415746,0.094670687038033,1930
Tiliqua rugosa,2478605.19918,0.217464165352808,1941
Tiliqua scincoides,3063311.024152,1.076935143958,1935
Tropidechis carinatus,170854.888385,0.293220019233793,1412
Tropidonophis mairii,1243416.699856,0.485078145847779,1877
Tumbunascincus luteilateralis,8259.649736,0.012867189246761,216
Tympanocryptis centralis,1317598.695799,0.026600362500875,1889
Tympanocryptis cephalus,2647565.607415,0.031929678502561,1930
Tympanocryptis condaminensis,6101.945114,0.000213626785224,164
Tympanocryptis houstoni,130576.295309,0.001151797472419,1298
Tympanocryptis intima,698808.492023,0.002868758708155,1806
Tympanocryptis lineata,4240382.256109,0.271045185146438,1957
Tympanocryptis pentalineata,7397.511491,1.15799605292537E-05,198
Tympanocryptis pinguicolla,21976.599351,0.019216118651724,509
Tympanocryptis tetraporophora,3369885.209883,0.196144565744249,1967
Tympanocryptis uniformis,638748.698267,0.02340778789219,1780
Tympanocryptis wilsoni,1858.427747,1.55924770407239E-05,53
Underwoodisaurus milii,2376459.821421,0.227856361680168,1936
Underwoodisaurus seorsus,19597.46013,0.002140533537653,454
Uvidicolus sphyrurus,72934.412347,0.022236012094889,1031
Varanus acanthurus,3077026.531521,0.144671478666755,1954
Varanus baritji,232179.135341,0.0094369310804,1535
Varanus brevicauda,2296413.541164,0.05091627965709,1927
Varanus bushi,50227.390441,0.004543150346432,843
Varanus caudolineatus,1179367.420703,0.033638058081054,1877
Varanus eremius,2918918.219158,0.038721919966019,1954
Varanus giganteus,2472506.804083,0.024792923399657,1942
Varanus gilleni,2163356.363956,0.045990595455313,1930
Varanus glauerti,246187.623054,0.020254686238511,1567
Varanus glebopalma,656171.490647,0.02705478819206,1789
Varanus gouldii,6336976.643795,0.697255115668525,1976
Varanus hamersleyensis,2740.908407,0.00083168098389,85
Varanus indicus,846490.398561,0.903739981269797,1857
Varanus keithhornei,1987.919902,7.24587319607764E-06,57
Varanus kingorum,43297.319828,0.001818027893986,774
Varanus mertensi,1201702.931591,0.068870469850858,1900
Varanus mitchelli,449912.98007,0.015013405378401,1716
Varanus panoptes,2505020.883405,0.512955068774768,1941
Varanus pilbarensis,115439.11166,0.004368001200018,1230
Varanus primordius,149207.443109,0.00925068650224,1340
Varanus rosenbergi,534939.63158,0.131865650589232,1759
Varanus scalaris,1205927.659415,0.128293984380553,1885
Varanus semiremex,202412.026851,0.321868726756148,1474
Varanus similis,2031.893024,7.87562501403568E-05,67
Varanus sparnus,2581.514083,0.000287644504975,75
Varanus spenceri,700983.860277,0.029368275916967,1790
Varanus storri,518413.651838,0.017249388628611,1743
Varanus tristis,5958186.487477,0.464917363263995,1963
Varanus varius,1219348.155626,0.488698877836326,1879
Vermicella annulata,2548491.598405,0.940188827650903,1938
Vermicella calonotus,35804.027837,0.009839586945378,698
Vermicella intermedia,39497.486464,0.007870011032143,760
Vermicella multifasciata,62510.703623,0.006647974392991,939
Vermicella snelli,111715.612696,0.008362095620562,1229
Vermicella vermiformis,26460.716953,0.041999521600586,573
